Task ID,Name,Phase,Epic/Module,Type,Priority,Status,Estimate (days),Dependencies (IDs),Acceptance Criteria,Notes
F0-01,Repo + Next.js App Router bootstrap,Phase 0 - Foundation,Platform,Dev,P0,Todo,0.5,,App corre local; rutas base / y /app; lint + format OK,
F0-02,Tailwind + design tokens setup,Phase 0 - Foundation,UI System,Dev,P0,Todo,0.5,F0-01,"Tokens (colors/spacing/radius) definidos; UI consistente; build sin warnings",
F0-03,Supabase project setup (DB/Auth/Storage),Phase 0 - Foundation,Backend,Dev,P0,Todo,0.5,,Proyecto Supabase creado; env vars configuradas; conexión desde Next OK,
F0-04,Supabase client (server/client) + helpers,Phase 0 - Foundation,Backend,Dev,P0,Todo,0.5,F0-03,"Clientes configurados para Server Components y Client Components; manejo de sesión OK",
F0-05,Auth: Email/Password (sign up/in/out),Phase 0 - Foundation,Auth,Dev,P0,Todo,1,F0-04,"Registro/login/logout funciona; rutas /app protegidas; errores visibles y manejados",
F0-06,Auth: Google OAuth,Phase 0 - Foundation,Auth,Dev,P0,Todo,1,F0-04,"Login Google funciona; callback OK; sesión persistente",
F0-07,DB: schema inicial (tablas core),Phase 0 - Foundation,Database,Dev,P0,Todo,1,F0-03,"Tablas: users_profile, finance_profiles, profile_members, user_preferences, categories creadadas",
F0-08,DB: triggers post-signup + defaults,Phase 0 - Foundation,Database,Dev,P0,Todo,0.5,F0-07,"Al registrarse: users_profile creado; finance_profile default creado; membership owner creada; active_profile_id seteado",
F0-09,RBAC: funciones helper SQL (is_profile_member/can_edit/is_owner),Phase 0 - Foundation,Security,Dev,P0,Todo,0.5,F0-07,"Funciones SQL creadas y testeadas con consultas manuales",
F0-10,RLS: políticas base por profile_id,Phase 0 - Foundation,Security,Dev,P0,Todo,1,F0-09,"RLS activo en tablas; viewer solo lectura; editor/owner mutan; bloqueo cross-profile verificado",
F0-11,Seed: categorías base por perfil,Phase 0 - Foundation,Database,Dev,P1,Todo,0.5,F0-07,"Categorías system income/expense disponibles al crear perfil",
F0-12,App shell: layout + navegación + rutas,Phase 0 - Foundation,UI Shell,Dev,P0,Todo,1,F0-02,"Topbar/sidebar; rutas: Overview/Transactions/Budgets/Pots/Recurring; responsive básico",
F0-13,Profile Switcher UI (lista de perfiles),Phase 0 - Foundation,Multi-profile,Dev,P0,Todo,1,F0-12,"Dropdown con perfiles miembro; muestra activo; UI recarga datos al cambiar",
F0-14,Active profile persist (user_preferences + cookie SSR),Phase 0 - Foundation,Multi-profile,Dev,P0,Todo,1,F0-13,"activeProfileId persiste; SSR consistente; refresh mantiene perfil",
F0-15,API: POST /api/profiles/switch,Phase 0 - Foundation,API,Dev,P0,Todo,0.5,F0-14,"Cambia active_profile_id; set-cookie seguro; valida membresía",
F0-16,Storage buckets privados (avatars/receipts) + policies,Phase 0 - Foundation,Storage/Security,Dev,P1,Todo,1,F0-03,"Buckets privados; paths /profile_id/...; signed URLs cortas; acceso solo por membresía",
F0-17,Soft delete baseline pattern (deleted_at) + filtros,Phase 0 - Foundation,Platform,Dev,P1,Todo,0.5,F0-07,"Convención documentada; queries excluyen deleted_at por defecto",
F0-18,Types TS + Zod base (Role/Money/entities),Phase 0 - Foundation,Types,Dev,P0,Todo,1,F0-07,"Tipos y schemas para create/update; validación en server actions/APIs",
F0-19,CI basics (lint/typecheck/build),Phase 0 - Foundation,Platform,Dev,P2,Todo,0.5,F0-01,"Pipeline simple; build pasa",
F1-01,DB: transactions + attachments tables,Phase 1 - Transactions,Database,Dev,P0,Todo,0.5,F0-07,"Tablas transactions + transaction_attachments creadas; indexes básicos",
F1-02,RLS policies: transactions + attachments,Phase 1 - Transactions,Security,Dev,P0,Todo,0.5,F1-01;F0-10,"Viewer read; editor/owner write; bloqueo cross-profile",
F1-03,API: GET /api/transactions (filters/pagination),Phase 1 - Transactions,API,Dev,P0,Todo,1,F1-02,"Filtros por texto/categoría/fecha; orden; paginación; solo activeProfileId",
F1-04,API: POST /api/transactions (create),Phase 1 - Transactions,API,Dev,P0,Todo,0.5,F1-02,"Crea income/expense; valida amount_cents; created_by set",
F1-05,API: PATCH /api/transactions/:id (update),Phase 1 - Transactions,API,Dev,P0,Todo,0.5,F1-02,"Edita campos permitidos; respeta RLS",
F1-06,API: DELETE /api/transactions/:id (soft delete) + restore action,Phase 1 - Transactions,API,Dev,P1,Todo,0.5,F1-02,"Soft delete set deleted_at; restaurar limpia deleted_at; listas no muestran borrados",
F1-07,Transactions UI: list + search/filter/sort/pagination,Phase 1 - Transactions,Transactions,Dev,P0,Todo,2,F1-03,"UI usable; estados loading/empty/error; queries por perfil activo",
F1-08,Transactions UI: create/edit modal/form,Phase 1 - Transactions,Transactions,Dev,P0,Todo,1.5,F1-04;F1-05,"Validación Zod; feedback; refleja en lista",
F1-09,CSV Import: upload + mapping UI + preview,Phase 1 - Transactions,CSV Import,Dev,P0,Todo,2,F1-07,"Sube CSV; mapea columnas; preview filas; muestra errores por fila",
F1-10,API: POST /api/transactions/import-csv (validate+insert),Phase 1 - Transactions,CSV Import,Dev,P0,Todo,1.5,F1-02;F0-18,"Valida por fila; transacciones insertadas; summary de resultados",
F1-11,Attachments: upload receipt to Storage + link to transaction,Phase 1 - Transactions,Storage,Dev,P1,Todo,1.5,F0-16;F1-01,"Sube archivo; guarda metadata; download via signed URL",
F1-12,Transactions restore UI + view deleted (optional toggle),Phase 1 - Transactions,Transactions,Dev,P2,Todo,1,F1-06,"Toggle para ver eliminados; restaurar desde UI",
F2-01,DB: budgets table + constraint unique active per category,Phase 2 - Budgets + Pots,Database,Dev,P0,Todo,0.5,F0-07,"Budgets con is_active; unicidad categoría activa por perfil",
F2-02,RLS: budgets policies,Phase 2 - Budgets + Pots,Security,Dev,P0,Todo,0.5,F2-01;F0-10,"Viewer read; editor/owner write",
F2-03,API: budgets CRUD endpoints,Phase 2 - Budgets + Pots,API,Dev,P0,Todo,1,F2-02,"GET/POST/PATCH/DELETE (soft); validación; errores claros",
F2-04,View SQL: v_budget_progress_month,Phase 2 - Budgets + Pots,Database,Dev,P1,Todo,0.5,F1-01;F2-01,"Spent vs limit por categoría en mes actual; sólo no deleted",
F2-05,Budgets UI: list + create/edit + progress bars,Phase 2 - Budgets + Pots,Budgets,Dev,P0,Todo,2,F2-03;F2-04,"Progreso coincide con suma de gastos; remaining correcto; evita duplicados",
F2-06,DB: pots + pot_movements tables,Phase 2 - Budgets + Pots,Database,Dev,P0,Todo,0.5,F0-07,"Tablas pots y movimientos creadas; indexes básicos",
F2-07,RLS: pots + pot_movements policies,Phase 2 - Budgets + Pots,Security,Dev,P0,Todo,0.5,F2-06;F0-10,"Viewer read; editor/owner write",
F2-08,Guardrail SQL: prevent overallocation (sum pots <= real_balance),Phase 2 - Budgets + Pots,Database,Dev,P0,Todo,1,F1-01;F2-06,"No permite add que deje sum(pots) > balance real; error controlado",
F2-09,View SQL: v_profile_balances (real/pots/available),Phase 2 - Budgets + Pots,Database,Dev,P0,Todo,1,F1-01;F2-06,"Calcula real_balance; pots_allocated; available_to_spend; validado con casos",
F2-10,API: pots CRUD + add/withdraw endpoints,Phase 2 - Budgets + Pots,API,Dev,P0,Todo,1.5,F2-07;F2-08,"Add/Withdraw crea movimiento; actualiza current_amount; respeta guardrail",
F2-11,Pots UI: list + create/edit + add/withdraw flows,Phase 2 - Budgets + Pots,Pots,Dev,P0,Todo,2,F2-10;F2-09,"Movimientos reflejan current_amount; available_to_spend cambia; real_balance no cambia",
F2-12,Dashboard widgets base (balances/budgets/pots),Phase 2 - Budgets + Pots,Overview,Dev,P1,Todo,1,F2-09;F2-04,"Tarjetas muestran datos correctos y por perfil activo",
F3-01,DB: recurring_bills + payments tables,Phase 3 - Recurring Bills,Database,Dev,P0,Todo,0.5,F0-07,"Tablas recurring_bills y recurring_bill_payments creadas",
F3-02,RLS: recurring bills + payments policies,Phase 3 - Recurring Bills,Security,Dev,P0,Todo,0.5,F3-01;F0-10,"Viewer read; editor/owner write",
F3-03,Date calc: next_due_date advance logic (weekly/monthly/quarterly/yearly + interval_count),Phase 3 - Recurring Bills,Logic,Dev,P0,Todo,1,F3-01,"Avanza fecha correctamente; maneja edge cases (fin de mes) documentados",
F3-04,View SQL: v_recurring_due (upcoming/due soon/overdue),Phase 3 - Recurring Bills,Database,Dev,P1,Todo,0.5,F3-01,"Clasifica por fechas y reminder_days_before; sólo activos y no deleted",
F3-05,API: recurring bills CRUD endpoints,Phase 3 - Recurring Bills,API,Dev,P0,Todo,1,F3-02,"CRUD con soft delete; validación; filtro por perfil activo",
F3-06,API: POST /api/recurring-bills/:id/mark-paid (create tx + payment + advance),Phase 3 - Recurring Bills,API,Dev,P0,Todo,1.5,F1-01;F3-03;F3-02,"Crea transacción gasto; crea payment con tx_id; avanza next_due_date; idempotencia básica",
F3-07,Recurring Bills UI: list + status chips + create/edit,Phase 3 - Recurring Bills,Recurring Bills,Dev,P0,Todo,2,F3-05;F3-04,"Upcoming/due soon/overdue visibles; permisos aplican (viewer read-only)",
F3-08,Recurring Bills UI: mark as paid flow + confirmation,Phase 3 - Recurring Bills,Recurring Bills,Dev,P0,Todo,1.5,F3-06,"Mark as paid crea tx visible en Transactions; next_due_date cambia; feedback OK",
F3-09,In-app alerts (query-only) for due soon/overdue,Phase 3 - Recurring Bills,Notifications,Dev,P2,Todo,1,F3-04,"Campanita o panel muestra alerts; marcar read opcional",
F4-01,Overview final: KPIs (balance/income/expenses),Phase 4 - Overview + Hardening,Overview,Dev,P0,Todo,1.5,F2-09;F1-01,"KPIs correctos (mes actual); por perfil activo",
F4-02,Overview: summaries (pots, budgets, recurring),Phase 4 - Overview + Hardening,Overview,Dev,P0,Todo,1.5,F2-04;F2-09;F3-04,"Listas/resúmenes correctos; enlaces a módulos",
F4-03,Overview: latest transactions widget,Phase 4 - Overview + Hardening,Overview,Dev,P1,Todo,0.5,F1-03,"Últimas transacciones; navegación a Transactions",
F4-04,RBAC UI hardening (hide/disable actions by role),Phase 4 - Overview + Hardening,Security/UI,Dev,P0,Todo,1,F0-10,"Viewer no ve acciones mutables; rutas sensibles protegidas",
F4-05,RLS audit checklist + manual penetration attempts,Phase 4 - Overview + Hardening,Security,QA,P0,Todo,1,F0-10,"Intentos de acceder otro profile fallan (API/SQL); evidencias registradas",
F4-06,Performance pass: indexes + query review + pagination defaults,Phase 4 - Overview + Hardening,Performance,Dev,P1,Todo,1,F1-03;F2-09,"Listas paginadas; tiempos aceptables; indexes en profile_id/date",
F4-07,Accessibility pass (keyboard, focus, labels),Phase 4 - Overview + Hardening,UX/Accessibility,QA,P2,Todo,1,F0-12,"Navegación por teclado; formularios con labels; focus visible",
F4-08,Error handling + empty states polish,Phase 4 - Overview + Hardening,UX,Dev,P1,Todo,1,F1-07;F2-05;F3-07,"Mensajes claros; empty states consistentes; toasts",
F4
